time,open,high,low,close,tick_volume,spread,real_volume
2024-10-31 09:15:00,2781.1,2782.32,2780.55,2782.25,7478,25,0
2024-10-31 09:30:00,2782.26,2784.0,2782.2,2783.68,6147,25,0
2024-10-31 09:45:00,2783.68,2783.86,2780.97,2781.96,5737,25,0
2024-10-31 10:00:00,2781.98,2783.01,2778.91,2779.33,8042,25,0
2024-10-31 10:15:00,2779.33,2779.46,2777.74,2778.41,9695,25,0
2024-10-31 10:30:00,2778.41,2779.49,2776.87,2778.48,8453,25,0
2024-10-31 10:45:00,2778.48,2780.2,2778.02,2779.01,6452,25,0
2024-10-31 11:00:00,2779.01,2780.16,2777.74,2778.29,9554,25,0
2024-10-31 11:15:00,2778.29,2778.4,2777.04,2777.44,7153,25,0
2024-10-31 11:30:00,2777.44,2779.49,2777.24,2779.47,6271,25,0
2024-10-31 11:45:00,2779.47,2779.76,2778.11,2778.12,5371,26,0
2024-10-31 12:00:00,2778.11,2778.61,2774.72,2775.05,6789,26,0
2024-10-31 12:15:00,2775.05,2777.64,2773.25,2777.55,8752,26,0
2024-10-31 12:30:00,2777.55,2780.49,2777.24,2780.01,8247,26,0
2024-10-31 12:45:00,2780.0,2781.11,2779.63,2780.8,6305,26,0
2024-10-31 13:00:00,2780.8,2782.52,2778.55,2778.63,8253,26,0
2024-10-31 13:15:00,2778.64,2779.68,2777.29,2777.74,7044,26,0
2024-10-31 13:30:00,2777.74,2779.35,2776.66,2778.79,5531,26,0
2024-10-31 13:45:00,2778.8,2780.18,2776.91,2779.41,8795,26,0
2024-10-31 14:00:00,2779.41,2781.6,2778.9,2781.34,8596,26,0
2024-10-31 14:15:00,2781.34,2781.88,2775.86,2776.7,8064,26,0
2024-10-31 14:30:00,2776.65,2778.63,2774.07,2774.22,18728,26,0
2024-10-31 14:45:00,2774.24,2775.14,2771.91,2773.56,14441,26,0
2024-10-31 15:00:00,2773.56,2773.85,2767.43,2769.61,23594,26,0
2024-10-31 15:15:00,2769.61,2770.53,2765.53,2767.14,18380,26,0
2024-10-31 15:30:00,2767.14,2767.97,2761.41,2761.85,20663,26,0
2024-10-31 15:45:00,2761.85,2764.02,2754.36,2755.29,28759,26,0
2024-10-31 16:00:00,2755.28,2755.28,2748.05,2752.6,25616,26,0
2024-10-31 16:15:00,2752.6,2756.81,2749.01,2749.81,20034,26,0
2024-10-31 16:30:00,2749.8,2752.35,2740.43,2740.88,20904,26,0
2024-10-31 16:45:00,2740.88,2741.63,2734.55,2734.7,25167,26,0
2024-10-31 17:00:00,2734.69,2736.48,2731.52,2734.56,22386,26,0
2024-10-31 17:15:00,2734.59,2740.89,2734.44,2739.34,17857,26,0
2024-10-31 17:30:00,2739.33,2739.36,2735.68,2736.8,15332,26,0
2024-10-31 17:45:00,2736.81,2740.65,2735.38,2740.56,14052,26,0
2024-10-31 18:00:00,2740.55,2741.76,2737.94,2740.84,12967,26,0
2024-10-31 18:15:00,2740.84,2743.35,2740.84,2742.48,12618,26,0
2024-10-31 18:30:00,2742.48,2743.63,2739.32,2740.75,9607,26,0
2024-10-31 18:45:00,2740.74,2740.94,2738.38,2740.62,7601,26,0
2024-10-31 19:00:00,2740.61,2742.88,2740.25,2742.38,6308,26,0
2024-10-31 19:15:00,2742.36,2743.77,2738.61,2739.19,7073,26,0
2024-10-31 19:30:00,2739.17,2741.25,2738.65,2740.14,5829,26,0
2024-10-31 19:45:00,2740.1,2740.17,2738.17,2739.51,5937,26,0
2024-10-31 20:00:00,2739.52,2742.09,2739.47,2741.78,6009,26,0
2024-10-31 20:15:00,2741.77,2741.77,2740.45,2741.16,6414,26,0
2024-10-31 20:30:00,2741.16,2747.79,2740.83,2744.76,9962,26,0
2024-10-31 20:45:00,2744.74,2747.91,2744.0,2746.86,6197,26,0
2024-10-31 21:00:00,2746.85,2749.32,2746.85,2749.22,5820,26,0
2024-10-31 21:15:00,2749.22,2749.66,2747.1,2748.18,5945,26,0
2024-10-31 21:30:00,2748.14,2749.04,2746.29,2748.35,5032,26,0
2024-10-31 21:45:00,2748.34,2748.86,2745.67,2746.41,6981,26,0
2024-10-31 22:00:00,2746.4,2747.86,2746.29,2747.64,4417,26,0
2024-10-31 22:15:00,2747.63,2748.1,2747.06,2747.43,2525,26,0
2024-10-31 22:30:00,2747.43,2747.75,2745.16,2745.38,4652,26,0
2024-10-31 22:45:00,2745.37,2745.65,2742.88,2742.93,3667,26,0
2024-11-01 00:00:00,2743.46,2747.68,2743.3,2747.02,763,26,0
2024-11-01 00:15:00,2747.03,2747.28,2744.96,2745.83,514,26,0
2024-11-01 00:30:00,2745.82,2746.43,2745.7,2746.32,559,26,0
2024-11-01 00:45:00,2746.27,2746.34,2745.54,2746.09,337,26,0
2024-11-01 01:00:00,2746.1,2746.86,2745.42,2746.38,943,26,0
2024-11-01 01:15:00,2746.38,2747.03,2745.92,2747.03,971,26,0
2024-11-01 01:30:00,2747.02,2747.85,2746.82,2747.71,1698,26,0
2024-11-01 01:45:00,2747.71,2747.78,2745.96,2746.62,1858,26,0
2024-11-01 02:00:00,2746.63,2747.22,2745.75,2746.82,2637,26,0
2024-11-01 02:15:00,2746.82,2747.22,2745.68,2746.51,2265,26,0
2024-11-01 02:30:00,2746.51,2746.67,2745.32,2746.41,1902,26,0
2024-11-01 02:45:00,2746.41,2746.9,2744.79,2744.97,4572,26,0
2024-11-01 03:00:00,2744.96,2747.72,2744.78,2747.06,10032,26,0
2024-11-01 03:15:00,2747.06,2747.74,2745.43,2746.83,10003,26,0
2024-11-01 03:30:00,2746.82,2748.03,2745.34,2746.65,8225,26,0
2024-11-01 03:45:00,2746.68,2749.92,2746.63,2749.67,8922,26,0
2024-11-01 04:00:00,2749.67,2750.9,2746.46,2746.92,11852,26,0
2024-11-01 04:15:00,2746.91,2748.3,2746.56,2747.99,4541,26,0
2024-11-01 04:30:00,2747.99,2749.65,2745.72,2748.57,8972,26,0
2024-11-01 04:45:00,2748.57,2749.0,2746.24,2748.64,7031,26,0
2024-11-01 05:00:00,2748.63,2749.14,2747.32,2748.84,6089,26,0
2024-11-01 05:15:00,2748.84,2750.1,2748.27,2749.91,4813,26,0
2024-11-01 05:30:00,2749.9,2751.09,2748.98,2749.69,4598,26,0
2024-11-01 05:45:00,2749.68,2751.84,2749.28,2751.73,6215,26,0
2024-11-01 06:00:00,2751.73,2751.99,2751.07,2751.3,2404,26,0
2024-11-01 06:15:00,2751.3,2751.77,2750.66,2751.66,2036,26,0
2024-11-01 06:30:00,2751.67,2752.39,2751.13,2752.14,2133,26,0
2024-11-01 06:45:00,2752.14,2752.91,2751.37,2752.17,2845,26,0
2024-11-01 07:00:00,2752.18,2752.94,2752.13,2752.45,3609,26,0
2024-11-01 07:15:00,2752.45,2752.93,2751.57,2752.06,3899,26,0
2024-11-01 07:30:00,2752.06,2754.05,2751.81,2753.02,8150,26,0
2024-11-01 07:45:00,2753.03,2755.13,2752.73,2754.88,8600,26,0
2024-11-01 08:00:00,2754.89,2757.6,2754.69,2756.59,8642,26,0
2024-11-01 08:15:00,2756.58,2756.64,2752.48,2752.79,8782,26,0
2024-11-01 08:30:00,2752.8,2754.11,2751.19,2751.67,7272,26,0
2024-11-01 08:45:00,2751.67,2753.52,2751.66,2751.95,6835,26,0
2024-11-01 09:00:00,2751.94,2753.06,2749.92,2750.26,5018,26,0
2024-11-01 09:15:00,2750.26,2751.94,2749.76,2750.0,4973,26,0
2024-11-01 09:30:00,2749.95,2750.49,2747.04,2747.16,7216,26,0
2024-11-01 09:45:00,2747.17,2749.61,2747.12,2749.59,7300,26,0
2024-11-01 10:00:00,2749.59,2752.78,2748.47,2752.36,8954,26,0
2024-11-01 10:15:00,2752.36,2754.38,2751.53,2754.06,7165,26,0
